full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
zebbern/claude-code-guide,3790,3790,355,4,4,1,https://github.com/zebbern/claude-code-guide
chauncygu/collection-claude-code-source-code,930,930,1324,98,98,115,https://github.com/chauncygu/collection-claude-code-source-code
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
leaked-claude-code/leaked-claude-code,543,543,771,42,42,33,https://github.com/leaked-claude-code/leaked-claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7292,7292,357,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2327,2327,392,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
VineeTagarwaL-code/claude-code,241,241,244,2,2,4,https://github.com/VineeTagarwaL-code/claude-code
liuup/claude-code-analysis,611,611,623,69,69,59,https://github.com/liuup/claude-code-analysis
zstmfhy/Claude-code,171,171,265,6,6,10,https://github.com/zstmfhy/Claude-code
fuergaosi233/claude-code-proxy,2318,2318,325,3,3,1,https://github.com/fuergaosi233/claude-code-proxy
alex000kim/claude-code,165,165,259,7,7,13,https://github.com/alex000kim/claude-code
anthropics/claude-code-security-review,4113,4113,354,2,2,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2323,2323,308,4,4,0,https://github.com/RichardAtCT/claude-code-telegram
xorespesp/claude-code,173,173,241,7,7,11,https://github.com/xorespesp/claude-code
FlorianBruniaux/claude-code-ultimate-guide,2749,2749,391,22,22,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lintsinghua/claude-code-book,1311,1311,371,113,113,26,https://github.com/lintsinghua/claude-code-book
Cranot/claude-code-guide,2558,2558,280,4,4,2,https://github.com/Cranot/claude-code-guide
freestylefly/claude-code,111,111,263,2,2,3,https://github.com/freestylefly/claude-code
router-for-me/CLIProxyAPI,22249,22249,3691,105,105,25,https://github.com/router-for-me/CLIProxyAPI
anthropics/claude-code-base-action,773,773,598,1,1,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2263,2263,257,6,6,0,https://github.com/ding113/claude-code-hub
obra/superpowers,131454,131454,10883,634,634,71,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,471,471,641,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,307,307,557,13,13,25,https://github.com/AprilNEA/claude-code-source
snarktank/ralph,14234,14234,1449,17,17,2,https://github.com/snarktank/ralph
edmund-io/edmunds-claude-code,1379,1379,281,1,1,-1,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3602,3602,253,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,26364,26364,2473,8,8,1,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,5259,5259,435,60,60,5,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32798,32798,3573,24,24,-1,https://github.com/wshobson/agents
Kuberwastaken/claurst,7042,7042,7077,199,199,90,https://github.com/Kuberwastaken/claurst
fazxes/Claude-code,166,166,166,6,6,9,https://github.com/fazxes/Claude-code
ghuntley/claude-code-source-code-deobfuscation,960,960,549,3,3,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,9321,9321,1218,18,18,4,https://github.com/siteboon/claudecodeui
Gitlawb/openclaude,5600,5600,2164,1116,1116,439,https://github.com/Gitlawb/openclaude
anthropics/claude-plugins-official,15764,15764,1745,32,32,3,https://github.com/anthropics/claude-plugins-official
Windy3f3f3f3f/how-claude-code-works,1167,1167,383,115,115,25,https://github.com/Windy3f3f3f3f/how-claude-code-works
guanshan/ClaudeCode,46,46,189,2,2,3,https://github.com/guanshan/ClaudeCode
bfly123/claude_code_bridge,2039,2039,188,8,8,1,https://github.com/bfly123/claude_code_bridge
lowcortisolprogrammer/claude-code,162,162,158,0,0,-1,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,1726,1726,265,4,4,0,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1402,1402,212,2,2,1,https://github.com/feiskyer/claude-code-settings
Alishahryar1/free-claude-code,1387,1387,210,12,12,2,https://github.com/Alishahryar1/free-claude-code
chiragjoshi12/claude-code,122,122,166,10,10,11,https://github.com/chiragjoshi12/claude-code
Yeachan-Heo/oh-my-claudecode,21647,21647,1872,348,348,47,https://github.com/Yeachan-Heo/oh-my-claudecode
sugyan/claude-code-webui,989,989,227,0,0,0,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,641,641,57,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
mehmoodosman/claude-code,102,102,162,2,2,2,https://github.com/mehmoodosman/claude-code
alirezarezvani/claude-skills,8794,8794,1066,66,66,10,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2147,2147,214,1,1,1,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1512,1512,240,1,1,0,https://github.com/lst97/claude-code-sub-agents
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2826,2826,518,39,39,10,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Hyper66666/claude-code-sourcemap,184,184,434,4,4,3,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,17008,17008,1358,41,41,2,https://github.com/slopus/happy
andrew-kramer-inno/claude-code-source-build,429,429,398,33,33,20,https://github.com/andrew-kramer-inno/claude-code-source-build
rohitg00/awesome-claude-code-toolkit,1007,1007,271,4,4,5,https://github.com/rohitg00/awesome-claude-code-toolkit
farion1231/cc-switch,37623,37623,2289,289,289,27,https://github.com/farion1231/cc-switch
KPR111/Claude-Code,14,14,336,1,1,1,https://github.com/KPR111/Claude-Code
luongnv89/claude-howto,16555,16555,1928,16555,16555,1928,https://github.com/luongnv89/claude-howto
nishimoto265/Claude-Code-Communication,494,494,236,-1,-1,0,https://github.com/nishimoto265/Claude-Code-Communication
catlog22/Claude-Code-Workflow,1676,1676,139,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
